iter	Passed	Remaining
961	4512	2523
962	4516	2518
963	4520	2513
964	4525	2508
965	4530	2504
966	4534	2499
967	4539	2494
968	4543	2489
969	4548	2485
970	4554	2481
971	4559	2476
972	4563	2471
973	4568	2467
974	4573	2462
975	4579	2458
976	4584	2454
977	4589	2449
978	4595	2445
979	4600	2441
980	4605	2436
981	4609	2431
982	4614	2427
983	4619	2422
984	4624	2417
985	4629	2413
986	4634	2408
987	4638	2403
988	4642	2398
989	4646	2393
990	4651	2389
991	4656	2384
992	4660	2379
993	4663	2374
994	4668	2369
995	4672	2364
996	4677	2359
997	4682	2355
998	4688	2351
999	4693	2346
1000	4697	2341
1001	4703	2337
1002	4708	2332
1003	4713	2328
1004	4717	2323
1005	4722	2319
1006	4727	2314
1007	4732	2309
1008	4737	2305
1009	4742	2300
1010	4747	2296
1011	4753	2292
1012	4757	2287
1013	4761	2282
1014	4766	2277
1015	4771	2273
1016	4775	2268
1017	4780	2263
1018	4784	2258
1019	4789	2253
1020	4793	2248
1021	4798	2244
1022	4802	2239
1023	4807	2234
1024	4811	2229
1025	4817	2225
1026	4821	2220
1027	4826	2215
1028	4829	2210
1029	4835	2206
1030	4840	2201
1031	4845	2197
1032	4850	2192
1033	4855	2188
1034	4858	2183
1035	4863	2178
1036	4868	2173
1037	4873	2169
1038	4877	2164
1039	4882	2159
1040	4887	2155
1041	4892	2150
1042	4897	2145
1043	4902	2141
1044	4906	2136
1045	4910	2131
1046	4915	2126
1047	4920	2122
1048	4924	2117
1049	4928	2112
1050	4934	2107
1051	4938	2103
1052	4943	2098
1053	4948	2094
1054	4953	2089
1055	4958	2084
1056	4962	2079
1057	4966	2074
1058	4970	2069
1059	4975	2065
1060	4980	2060
1061	4984	2055
1062	4989	2051
1063	4993	2046
1064	4999	2041
1065	5003	2037
1066	5008	2032
1067	5013	2028
1068	5018	2023
1069	5022	2018
1070	5028	2014
1071	5032	2009
1072	5036	2004
1073	5041	1999
1074	5046	1995
1075	5050	1990
1076	5055	1985
1077	5059	1980
1078	5064	1976
1079	5068	1971
1080	5072	1965
1081	5076	1961
1082	5081	1956
1083	5086	1951
1084	5090	1947
1085	5095	1942
1086	5100	1937
1087	5104	1933
1088	5110	1928
1089	5114	1923
1090	5119	1919
1091	5123	1914
1092	5128	1909
1093	5133	1904
1094	5137	1900
1095	5142	1895
1096	5146	1890
1097	5152	1886
1098	5157	1881
1099	5162	1877
1100	5167	1872
1101	5171	1867
1102	5176	1863
1103	5181	1858
1104	5186	1854
1105	5191	1849
1106	5196	1844
1107	5200	1839
1108	5204	1834
1109	5208	1830
1110	5213	1825
1111	5218	1820
1112	5223	1816
1113	5228	1811
1114	5232	1806
1115	5237	1802
1116	5242	1797
1117	5246	1792
1118	5250	1787
1119	5254	1782
1120	5259	1778
1121	5264	1773
1122	5268	1768
1123	5274	1764
1124	5279	1759
1125	5283	1755
1126	5288	1750
1127	5293	1745
1128	5297	1740
1129	5302	1736
1130	5307	1731
1131	5311	1726
1132	5315	1721
1133	5321	1717
1134	5326	1712
1135	5330	1708
1136	5335	1703
1137	5340	1698
1138	5344	1694
1139	5350	1689
1140	5355	1685
1141	5360	1680
1142	5365	1675
1143	5372	1671
1144	5377	1667
1145	5381	1662
1146	5387	1657
1147	5391	1653
1148	5396	1648
1149	5402	1644
1150	5407	1639
1151	5411	1634
1152	5416	1630
1153	5422	1625
1154	5428	1621
1155	5434	1617
1156	5438	1612
1157	5444	1607
1158	5449	1603
1159	5453	1598
1160	5459	1594
1161	5465	1589
1162	5470	1585
1163	5476	1580
1164	5482	1576
1165	5488	1572
1166	5493	1567
1167	5499	1563
1168	5505	1558
1169	5511	1554
1170	5518	1550
1171	5523	1545
1172	5529	1541
1173	5535	1537
1174	5539	1532
1175	5545	1527
1176	5551	1523
1177	5557	1519
1178	5562	1514
1179	5569	1510
1180	5576	1506
1181	5583	1502
1182	5588	1497
1183	5594	1493
1184	5601	1489
1185	5607	1484
1186	5612	1479
1187	5618	1475
1188	5624	1471
1189	5630	1466
1190	5636	1462
1191	5641	1457
1192	5648	1453
1193	5653	1449
1194	5660	1444
1195	5666	1440
1196	5671	1435
1197	5676	1430
1198	5682	1426
1199	5688	1422
1200	5695	1417
1201	5700	1413
1202	5706	1408
1203	5712	1404
1204	5718	1399
1205	5724	1395
1206	5730	1391
1207	5735	1386
1208	5741	1381
1209	5747	1377
1210	5753	1373
1211	5759	1368
1212	5765	1364
1213	5771	1359
1214	5777	1355
1215	5783	1350
1216	5788	1346
1217	5794	1341
1218	5798	1336
1219	5803	1331
1220	5808	1327
1221	5814	1322
1222	5820	1318
1223	5825	1313
1224	5831	1309
1225	5835	1304
1226	5840	1299
1227	5845	1294
1228	5850	1289
1229	5855	1285
1230	5859	1280
1231	5865	1275
1232	5870	1271
1233	5876	1266
1234	5881	1262
1235	5887	1257
1236	5893	1253
1237	5899	1248
1238	5904	1243
1239	5910	1239
1240	5915	1234
1241	5920	1229
1242	5926	1225
1243	5931	1220
1244	5936	1215
1245	5942	1211
1246	5945	1206
1247	5949	1201
1248	5954	1196
1249	5959	1191
1250	5964	1187
1251	5968	1182
1252	5974	1177
1253	5978	1172
1254	5982	1167
1255	5987	1163
1256	5992	1158
1257	5996	1153
1258	6001	1148
1259	6006	1144
1260	6011	1139
1261	6015	1134
1262	6019	1129
1263	6025	1124
1264	6029	1120
1265	6034	1115
1266	6039	1110
1267	6044	1105
1268	6048	1101
1269	6053	1096
1270	6058	1091
1271	6063	1086
1272	6067	1082
1273	6073	1077
1274	6078	1072
1275	6083	1067
1276	6089	1063
1277	6094	1058
1278	6099	1053
1279	6104	1049
1280	6108	1044
1281	6113	1039
1282	6118	1034
1283	6123	1030
1284	6127	1025
1285	6132	1020
1286	6138	1015
1287	6142	1011
1288	6147	1006
1289	6152	1001
1290	6156	996
1291	6161	991
1292	6165	987
1293	6171	982
1294	6175	977
1295	6180	972
1296	6185	968
1297	6189	963
1298	6193	958
1299	6197	953
1300	6202	948
1301	6207	944
1302	6211	939
1303	6216	934
1304	6221	929
1305	6225	924
1306	6230	919
1307	6234	915
